grid_id,lat,lon,climate_sequence_id,power_lat,power_lon
AHN-00528,24.26702537412797,49.17754710084221,CLIMS24p25_49p25,24.25,49.25
AHN-00529,24.268174039965217,49.27602218207414,CLIMS24p25_49p25,24.25,49.25
AHN-00530,24.269258978173834,49.37450324206546,CLIMS24p25_49p25,24.25,49.25
AHN-00531,24.270280173832415,49.472989939838385,CLIMS24p25_49p25,24.25,49.25
AHN-00532,24.34039185548941,48.092757506522666,CLIMS24p25_48p25,24.25,48.25
AHN-00533,24.34224803729464,48.1912137463187,CLIMS24p25_48p25,24.25,48.25
AHN-00534,24.344040447339108,48.28967973653822,CLIMS24p25_48p25,24.25,48.25
AHN-00535,24.345769060993373,48.38815513687108,CLIMS24p25_48p25,24.25,48.25
AHN-00536,24.347433854471024,48.486639606790526,CLIMS24p25_48p25,24.25,48.25
AHN-00537,24.349034804883352,48.585132805600374,CLIMS24p25_48p75,24.25,48.75
AHN-00538,24.350571890204424,48.68363439241598,CLIMS24p25_48p75,24.25,48.75
AHN-00539,24.352045089291995,48.7821440261907,CLIMS24p25_48p75,24.25,48.75
AHN-00540,24.353454381869938,48.88066136570724,CLIMS24p25_48p75,24.25,48.75
AHN-00541,24.35479974854657,48.97918606958843,CLIMS24p25_48p75,24.25,48.75
AHN-00542,24.356081170796976,49.077717796321906,CLIMS24p25_49p25,24.25,49.25
AHN-00543,24.357298630982143,49.176256204226746,CLIMS24p25_49p25,24.25,49.25
AHN-00544,24.358452112338128,49.274800951509235,CLIMS24p25_49p25,24.25,49.25
AHN-00545,24.359541598985782,49.37335169623979,CLIMS24p25_49p25,24.25,49.25
AHN-00546,24.360567075910698,49.4719080963546,CLIMS24p25_49p25,24.25,49.25
AHN-00547,24.428665351956855,47.992175880031404,CLIMS24p25_47p75,24.25,47.75
AHN-00548,24.43059330402064,48.090691728522394,CLIMS24p25_48p25,24.25,48.25
AHN-00549,24.43245724365243,48.189217699146745,CLIMS24p25_48p25,24.25,48.25
AHN-00550,24.434257145203045,48.28775345069904,CLIMS24p25_48p25,24.25,48.25
AHN-00551,24.435992983905354,48.38629864182444,CLIMS24p25_48p25,24.25,48.25
AHN-00552,24.437664735874975,48.48485293092328,CLIMS24p25_48p25,24.25,48.25
AHN-00553,24.43927237809973,48.58341597623885,CLIMS24p25_48p75,24.25,48.75
AHN-00554,24.440815888443932,48.68198743582645,CLIMS24p25_48p75,24.25,48.75
AHN-00555,24.44229524564959,48.780566967576455,CLIMS24p25_48p75,24.25,48.75
AHN-00556,24.4437104293384,48.879154229200104,CLIMS24p25_48p75,24.25,48.75
